t,step,sym,C,E,rnorm,purity,S,detg,det_thr,reso_hit_freq,reso_hit_mag,ew_varE,ew_ac1E,ew_dS
0.000000,0,^,0.100000,0.009929,0.800246,0.820197,0.324812,,,,,0.000000,0.000000,0.000000
0.035461,1,^,0.100246,0.019858,0.800493,0.820394,0.324541,,,,,0.000000,0.000000,-0.000271
0.070922,2,^,0.100739,0.029781,0.800740,0.820592,0.324270,,,,,0.000066,1.000000,-0.000271
0.106383,3,^,0.101479,0.039692,0.800986,0.820789,0.323998,,,,,0.000123,1.000000,-0.000272
0.141844,4,^,0.102464,0.049584,0.801233,0.820987,0.323726,,,,,0.000197,1.000000,-0.000272
0.177305,5,^,0.103695,0.059452,0.801480,0.821185,0.323454,,,,,0.000286,1.000000,-0.000272
0.212766,6,^,0.105170,0.069289,0.801727,0.821383,0.323182,,,,,0.000392,1.000000,-0.000272
0.248227,7,^,0.106890,0.079090,0.801974,0.821581,0.322909,,,,,0.000513,1.000000,-0.000273
0.283688,8,^,0.108854,0.088848,0.802221,0.821779,0.322637,,,,,0.000649,1.000000,-0.000273
0.319149,9,^,0.111059,0.098558,0.802468,0.821977,0.322363,,,,,0.000801,1.000000,-0.000273
0.354610,10,^,0.113506,0.108212,0.802715,0.822176,0.322090,,,,,0.000967,1.000000,-0.000273
0.390071,11,^,0.116192,0.117806,0.802962,0.822374,0.321816,,,,,0.001148,1.000000,-0.000274
0.425532,12,^,0.119116,0.127333,0.803209,0.822573,0.321543,,,,,0.001343,1.000000,-0.000274
0.460993,13,^,0.122277,0.136788,0.803457,0.822772,0.321268,,,,,0.001552,0.999999,-0.000274
0.496454,14,^,0.125672,0.146164,0.803704,0.822970,0.320994,,,,,0.001773,0.999999,-0.000274
0.531915,15,^,0.129300,0.155456,0.803952,0.823169,0.320719,,,,,0.002008,0.999999,-0.000275
0.567376,16,^,0.133159,0.164657,0.804200,0.823369,0.320445,,,,,0.002255,0.999999,-0.000275
0.602837,17,^,0.137246,0.173763,0.804447,0.823568,0.320169,,,,,0.002513,0.999999,-0.000275
0.638298,18,^,0.141560,0.182768,0.804695,0.823767,0.319894,,,,,0.002782,0.999999,-0.000275
0.673759,19,^,0.146096,0.191665,0.804943,0.823967,0.319618,,,,,0.003062,0.999999,-0.000276
0.709220,20,^,0.150854,0.200450,0.805191,0.824166,0.319342,,,,,0.003352,0.999999,-0.000276
0.744681,21,^,0.155830,0.209117,0.805439,0.824366,0.319066,,,,,0.003651,0.999998,-0.000276
0.780142,22,^,0.161021,0.217660,0.805687,0.824566,0.318790,,,,,0.003959,0.999998,-0.000276
