t,step,sym,C,E,rnorm,purity,S,detg,det_thr,reso_hit_freq,reso_hit_mag,ew_varE,ew_ac1E,ew_dS,harm_sub_power,harm_fund_power,harm_2f_power,harm_3f_power
112.765957,1590,^,0.144190,0.319748,0.956744,0.957679,0.104309,3.426773078774e-08,3.375244920887e-08,7.050,0.047662,0.021075,0.994245,-0.002235,0.140649,0.047662,0.000000,0.000000
112.836879,1591,^,0.128316,0.302084,0.957922,0.958807,0.102055,3.294700670157e-08,3.381326387670e-08,7.022,0.052650,0.021075,0.994231,-0.002254,0.098273,0.052650,0.000000,0.000000
112.907801,1592,^,0.113319,0.283631,0.959102,0.959938,0.099782,3.148794478950e-08,3.407110089891e-08,7.050,0.064985,0.021070,0.994212,-0.002274,0.091625,0.064985,0.000000,0.000000
112.978723,1593,^,0.099238,0.264434,0.960283,0.961072,0.097488,2.991305910088e-08,3.416880779852e-08,7.022,0.070765,0.021061,0.994187,-0.002294,0.137993,0.070765,0.000000,0.000000
113.049645,1594,^,0.086110,0.244538,0.961466,0.962208,0.095173,2.824997914587e-08,3.440306793929e-08,7.050,0.083758,0.021051,0.994156,-0.002315,0.191029,0.083758,0.000000,0.000000
113.120567,1595,^,0.073970,0.223991,0.962650,0.963347,0.092837,2.653082404627e-08,3.393251320839e-08,7.022,0.090244,0.021042,0.994121,-0.002336,0.142211,0.090244,0.000000,0.000000
113.191489,1596,^,0.062850,0.202840,0.963836,0.964489,0.090479,2.479139238811e-08,3.396822461515e-08,7.050,0.103792,0.021035,0.994080,-0.002358,0.147397,0.103792,0.000000,0.000000
113.262411,1597,^,0.052779,0.181138,0.965023,0.965634,0.088098,2.307019375190e-08,3.426684030387e-08,7.022,0.110885,0.021035,0.994035,-0.002381,0.189019,0.110885,0.000000,0.000000
113.333333,1598,^,0.043787,0.158935,0.966211,0.966782,0.085693,2.140735439158e-08,3.458232794151e-08,7.050,0.124885,0.021043,0.993986,-0.002404,0.248317,0.124885,0.000000,0.000000
113.404255,1599,^,0.035896,0.136286,0.967401,0.967932,0.083265,1.984343485434e-08,3.458149850898e-08,7.022,0.132481,0.021062,0.993934,-0.002429,0.201868,0.132481,0.000000,0.000000
