t,step,sym,C,E,rnorm,purity,S,detg,det_thr,reso_hit_freq,reso_hit_mag,ew_varE,ew_ac1E,ew_dS,harm_sub_power,harm_fund_power,harm_2f_power,harm_3f_power
172.198582,2428,^,0.397196,0.100751,0.287884,0.541439,0.651116,2.571008953531e-10,3.769717447993e-10,7.050,0.028957,0.001691,0.993162,-0.000105,0.044757,0.028957,0.000000,0.000000
172.269504,2429,^,0.402198,0.105855,0.288239,0.541541,0.651011,2.694459428502e-10,3.769717447993e-10,7.022,0.023644,0.001695,0.993152,-0.000105,0.038074,0.023644,0.000000,0.000000
172.340426,2430,^,0.407453,0.110710,0.288594,0.541643,0.650906,2.808750798694e-10,3.842635374031e-10,7.050,0.021960,0.001701,0.993148,-0.000105,0.048137,0.021960,0.000000,0.000000
172.411348,2431,^,0.412950,0.115305,0.288949,0.541746,0.650800,2.913001632596e-10,3.819248922956e-10,7.022,0.016510,0.001709,0.993151,-0.000106,0.056251,0.016510,0.000000,0.000000
172.482270,2432,^,0.418674,0.119626,0.289305,0.541849,0.650694,3.006743377636e-10,3.821572246981e-10,7.050,0.014737,0.001718,0.993162,-0.000106,0.035360,0.014737,0.000000,0.000000
172.553191,2433,^,0.424613,0.123664,0.289661,0.541952,0.650588,3.089911795944e-10,3.852106238893e-10,7.022,0.009217,0.001729,0.993178,-0.000106,0.022060,0.009217,0.000000,0.000000
172.624113,2434,^,0.430752,0.127406,0.290018,0.542055,0.650482,3.162821967323e-10,3.831271585471e-10,7.050,0.007359,0.001741,0.993202,-0.000106,0.034831,0.007359,0.000000,0.000000
172.695035,2435,^,0.437077,0.130844,0.290375,0.542159,0.650375,3.226127995982e-10,3.839078328019e-10,7.022,0.002202,0.001755,0.993232,-0.000107,0.036543,0.002202,0.000000,0.000000
172.765957,2436,^,0.443573,0.133968,0.290733,0.542263,0.650268,3.280769177987e-10,3.853356105514e-10,7.022,0.003527,0.001769,0.993268,-0.000107,0.038019,0.003527,0.000000,0.000000
172.836879,2437,^,0.450224,0.136769,0.291091,0.542367,0.650161,3.327904940463e-10,3.861384865707e-10,7.050,0.008947,0.001785,0.993309,-0.000107,0.041868,0.008947,0.000000,0.000000
172.907801,2438,^,0.457014,0.139240,0.291449,0.542471,0.650053,3.368841328717e-10,3.861384865707e-10,7.022,0.010734,0.001801,0.993355,-0.000108,0.028815,0.010734,0.000000,0.000000
172.978723,2439,^,0.463927,0.141374,0.291808,0.542576,0.649945,3.404952174400e-10,3.865872142305e-10,7.050,0.016398,0.001818,0.993406,-0.000108,0.025384,0.016398,0.000000,0.000000
173.049645,2440,^,0.470945,0.143165,0.292168,0.542681,0.649837,3.437598311405e-10,3.900047914799e-10,7.022,0.018064,0.001836,0.993459,-0.000108,0.051371,0.018064,0.000000,0.000000
173.120567,2441,^,0.478053,0.144608,0.292527,0.542786,0.649729,3.468048305973e-10,3.922851461725e-10,7.050,0.023749,0.001854,0.993516,-0.000108,0.061870,0.023749,0.000000,0.000000
173.191489,2442,^,0.485232,0.145697,0.292888,0.542892,0.649620,3.497404128346e-10,3.962571510643e-10,7.022,0.025283,0.001872,0.993574,-0.000109,0.034545,0.025283,0.000000,0.000000
173.262411,2443,^,0.492465,0.146430,0.293248,0.542997,0.649511,3.526535015353e-10,3.971674200401e-10,7.050,0.030927,0.001890,0.993634,-0.000109,0.045712,0.030927,0.000000,0.000000
173.333333,2444,^,0.499735,0.146805,0.293610,0.543103,0.649402,3.556022462538e-10,3.964892062866e-10,7.022,0.032300,0.001908,0.993694,-0.000109,0.068808,0.032300,0.000000,0.000000
173.404255,2445,^,0.507023,0.146818,0.293971,0.543210,0.649293,3.586118851705e-10,3.944639860236e-10,7.050,0.037861,0.001925,0.993754,-0.000109,0.080953,0.037861,0.000000,0.000000
173.475177,2446,^,0.514312,0.146469,0.294333,0.543316,0.649183,3.616721681359e-10,3.997262633592e-10,7.022,0.039042,0.001942,0.993812,-0.000110,0.052571,0.039042,0.000000,0.000000
173.546099,2447,^,0.521583,0.145759,0.294696,0.543423,0.649073,3.647364743645e-10,3.997310148581e-10,7.050,0.044481,0.001958,0.993869,-0.000110,0.064775,0.044481,0.000000,0.000000
173.617021,2448,^,0.528819,0.144687,0.295059,0.543530,0.648963,3.677226906275e-10,3.997944483611e-10,7.022,0.045437,0.001974,0.993924,-0.000110,0.086595,0.045437,0.000000,0.000000
173.687943,2449,^,0.536002,0.143256,0.295422,0.543637,0.648852,3.705158438087e-10,4.041603548928e-10,7.050,0.050720,0.001988,0.993975,-0.000111,0.098264,0.050720,0.000000,0.000000
173.758865,2450,^,0.543114,0.141469,0.295786,0.543745,0.648741,3.729724090777e-10,4.086891035033e-10,7.022,0.051420,0.002001,0.994024,-0.000111,0.069907,0.051420,0.000000,0.000000
173.829787,2451,^,0.550138,0.139328,0.296150,0.543852,0.648630,3.749261445875e-10,4.102380232743e-10,7.050,0.056514,0.002014,0.994068,-0.000111,0.081702,0.056514,0.000000,0.000000
173.900709,2452,^,0.557055,0.136839,0.296515,0.543961,0.648519,3.761952383410e-10,4.122623161811e-10,7.022,0.056929,0.002025,0.994108,-0.000111,0.102913,0.056929,0.000000,0.000000
173.971631,2453,^,0.563848,0.134007,0.296880,0.544069,0.648407,3.765904953732e-10,4.103426151050e-10,7.050,0.061805,0.002035,0.994144,-0.000112,0.113056,0.061805,0.000000,0.000000
174.042553,2454,^,0.570501,0.130837,0.297246,0.544177,0.648295,3.759242460179e-10,4.113503626163e-10,7.022,0.061907,0.002043,0.994175,-0.000112,0.084625,0.061907,0.000000,0.000000
